event_time,estimate,se,ci_lower,ci_upper,weight,outcome_group,outcome_type
3,110.544134350833,19.580686972479,72.1666930922214,148.921575609444,uw,obesity,net_spending
4,174.115279432012,28.2208209667781,118.803486722974,229.42707214105,uw,obesity,net_spending
5,284.48734977477,46.5781841216754,193.195786431011,375.77891311853,uw,obesity,net_spending
6,411.874321037001,67.9862042682534,278.623809225641,545.124832848361,uw,obesity,net_spending
-4,18.7261912030631,17.1590282269497,-14.9048861314645,52.3572685375907,uw,diab_cardiac,net_spending
-3,21.1944122440959,13.7721370918759,-5.79848044612909,48.187304934321,uw,diab_cardiac,net_spending
-2,11.9748619932971,8.91479610191136,-5.49781729596727,29.4475412825614,uw,diab_cardiac,net_spending
-1,0,,,,uw,diab_cardiac,net_spending
0,-6.24397490759611,9.60652273190992,-25.0724134788049,12.5844636636126,uw,diab_cardiac,net_spending
1,-26.4371721431944,20.2442350854023,-66.1151438051451,13.2407995187563,uw,diab_cardiac,net_spending
2,-27.378095930078,32.3812321381491,-90.8441446958812,36.0879528357252,uw,diab_cardiac,net_spending
3,-26.9858857254103,24.7759921288045,-75.5459379791149,21.5741665282943,uw,diab_cardiac,net_spending
4,-21.3031749113029,36.0324131295743,-91.9254069213367,49.3190570987309,uw,diab_cardiac,net_spending
5,-40.3648041496563,50.886591897041,-140.100691563844,59.3710832645318,uw,diab_cardiac,net_spending
6,41.6599065947885,53.9767480223455,-64.1325755316022,147.452388721179,uw,diab_cardiac,net_spending
-4,-4.80924782555758,15.6684334617407,-35.5188131047317,25.9003174536165,uw,all,net_spending
-3,3.05460169848811,11.7245716154387,-19.9251364019323,26.0343397989085,uw,all,net_spending
-2,-3.2960482989356,9.16951700809406,-21.2679713904274,14.6758747925562,uw,all,net_spending
-1,0,,,,uw,all,net_spending
0,42.1139939727837,16.6288422192651,9.52206211842494,74.7059258271424,uw,all,net_spending
1,71.4474828253324,31.9231493468585,8.87925983239648,134.015705818268,uw,all,net_spending
2,68.4500600424171,40.7830129720922,-11.4831765639133,148.383296648748,uw,all,net_spending
3,83.5582486254334,28.3201134473751,28.0518462304898,139.064651020377,uw,all,net_spending
4,152.81210452072,41.8520666020329,70.7835613021638,234.840647739276,uw,all,net_spending
5,244.122545625127,73.3588687717024,100.34180488599,387.903286364264,uw,all,net_spending
6,453.5342276318,98.8217710661212,259.84711545374,647.22133980986,uw,all,net_spending
-4,1.1363969453781,0.621231593956296,-0.0811946048346546,2.35398849559085,uw,ce,spending
-3,0.606815771783289,0.400767575561864,-0.178674242489399,1.39230578605598,uw,ce,spending
-2,0.295246829379579,0.286348781608724,-0.265986469590446,0.856480128349604,uw,ce,spending
-1,0,,,,uw,ce,spending
0,0.21485109348626,0.424084480922119,-0.616339215523457,1.04604140249598,uw,ce,spending
1,-0.749884043221016,0.880854004960288,-2.47632616858105,0.976558082139013,uw,ce,spending
2,-1.98161883125715,1.39255279660681,-4.71097215917703,0.747734496662727,uw,ce,spending
3,-1.2939341322064,2.40213796283035,-6.0020380252503,3.4141697608375,uw,ce,spending
4,-0.569996067322251,4.17262475356359,-8.74819030530721,7.60819817066271,uw,ce,spending
5,-1.03515096345726,5.92065920041012,-12.6394297609968,10.5691278340823,uw,ce,spending
6,0.216666977473295,7.63449748846645,-14.7466731399824,15.180007094929,uw,ce,spending
-4,-29.3997433005186,7.64176592466593,-44.3773292911492,-14.4221573098879,emw,obesity,spending
-3,-20.3035678334916,5.81685296460852,-31.7043901474893,-8.90274551949383,emw,obesity,spending
-2,-11.8160119453376,5.69123796063759,-22.9706333756344,-0.661390515040695,emw,obesity,spending
-1,0,,,,emw,obesity,spending
0,79.040293608659,11.4150185531377,56.6672683616526,101.413318855665,emw,obesity,spending
1,161.374459080959,25.937592547052,110.537711843063,212.211206318855,emw,obesity,spending
2,173.463218377203,25.1099659438742,124.248589474182,222.677847280224,emw,obesity,spending
3,143.161896425887,20.656550219725,102.675801950383,183.647990901391,emw,obesity,spending
4,223.366171850989,30.7098804193576,163.175912259516,283.556431442462,emw,obesity,spending
5,381.558478621585,57.1419025011167,269.562407711297,493.554549531873,emw,obesity,spending
6,672.744877587693,67.3988665702736,540.645526511136,804.844228664249,emw,obesity,spending
-4,-37.0921020629348,26.352844824629,-88.7427288093804,14.5585246835107,emw,diab_cardiac,spending
-3,-1.28900057529791,18.9423188870142,-38.4152633775185,35.8372622269227,emw,diab_cardiac,spending
-2,38.3433168230995,26.7376431418148,-14.0615007663418,90.7481344125408,emw,diab_cardiac,spending
-1,0,,,,emw,diab_cardiac,spending
0,26.094000574456,18.3033396543602,-9.77988594489375,61.9678870938058,emw,diab_cardiac,spending
1,-39.7117089465883,33.9027715855095,-106.159920230275,26.7365023370981,emw,diab_cardiac,spending
2,100.82517532228,83.3289161069369,-62.4964991180755,264.146849762636,emw,diab_cardiac,spending
3,61.3369893760792,52.4199219943127,-41.4041698051727,164.078148557331,emw,diab_cardiac,spending
4,131.324371796729,69.7543766093476,-5.39169412163548,268.040437715093,emw,diab_cardiac,spending
5,1.69353696402322,106.870824853185,-207.769430746307,211.156504674354,emw,diab_cardiac,spending
6,239.598787149347,104.263477203342,35.2461269278846,443.95144737081,emw,diab_cardiac,spending
-4,-66.4918453634691,28.5942089313014,-122.535465035233,-10.4482256917048,emw,all,spending
-3,-21.5925684088043,19.1307339539215,-59.0881179563078,15.9029811386993,emw,all,spending
-2,26.527304877749,29.3080267009633,-30.9153719140773,83.9699816695753,emw,all,spending
-1,0,,,,emw,all,spending
0,105.134294183099,23.6810138159657,58.7203599864107,151.548228379787,emw,all,spending
1,121.662750134355,45.9754341688553,31.5525549898061,211.772945278903,emw,all,spending
2,274.28839369947,100.153441999517,77.9912544526968,470.585532946244,emw,all,spending
3,204.498885801951,47.5496289077047,111.303325664606,297.694445939297,emw,all,spending
4,354.690543647702,52.7116034328927,251.377699351874,458.003387943529,emw,all,spending
5,383.252015585595,114.904822579517,158.042701679776,608.461329491413,emw,all,spending
6,912.343664737028,150.375753846465,617.612603049896,1207.07472642416,emw,all,spending
-4,-0.0231163236566395,0.00596490094324791,-0.0348073146767544,-0.0114253326365246,emw,obesity,rx
-3,-0.0161223441623394,0.00472339963328818,-0.0253800373281739,-0.00686465099650484,emw,obesity,rx
-2,-0.00955398144022501,0.00467482169679167,-0.0187164636000831,-0.000391499280366919,emw,obesity,rx
-1,0,,,,emw,obesity,rx
0,0.060956443626248,0.00905295871302298,0.0432129705951949,0.0786999166573011,emw,obesity,rx
1,0.125381730639601,0.0202970486575166,0.0856002462784117,0.165163215000791,emw,obesity,rx
2,0.134149339112951,0.0183794618830281,0.0981262557669893,0.170172422458913,emw,obesity,rx
3,0.11319641233875,0.0162497471334837,0.0813474931992393,0.145045331478261,emw,obesity,rx
4,0.18201816440932,0.0256990131420432,0.131649024212694,0.232387304605946,emw,obesity,rx
5,0.309544614243279,0.0471403259828836,0.217151273097349,0.401937955389209,emw,obesity,rx
6,0.54132981980075,0.0517212103731029,0.439958110232649,0.642701529368851,emw,obesity,rx
-4,-0.0375832355914847,0.0221340104270682,-0.0809650988619724,0.00579862767900302,emw,diab_cardiac,rx
-3,-0.0116012790299633,0.0167201827410726,-0.0443722350173939,0.0211696769574672,emw,diab_cardiac,rx
-2,0.0274372756913248,0.0287036838999957,-0.028820910976289,0.0836954623589386,emw,diab_cardiac,rx
-1,0,,,,emw,diab_cardiac,rx
0,0.027180088644327,0.0155296551278512,-0.00325747609858905,0.057617653387243,emw,diab_cardiac,rx
1,-0.0294183275357378,0.0314307249253465,-0.0910214163974023,0.0321847613259267,emw,diab_cardiac,rx
2,0.109920463391496,0.0717106379665886,-0.0306298043314086,0.2504707311144,emw,diab_cardiac,rx
3,0.0766334599022764,0.0452022399794084,-0.0119613024779005,0.165228222282453,emw,diab_cardiac,rx
4,0.127285817461019,0.0591572581352428,0.0113397220918036,0.243231912830233,emw,diab_cardiac,rx
5,-0.00591676170360334,0.110856795673261,-0.223192088664711,0.211358565257504,emw,diab_cardiac,rx
6,0.222138932391169,0.0852913839564439,0.0549708916449615,0.389306973137376,emw,diab_cardiac,rx
-4,-0.0606995592481354,0.0233087036479631,-0.10638377892446,-0.0150153395718104,emw,all,rx
-3,-0.0277236231923137,0.0171161710379733,-0.0612707019799688,0.00582345559534145,emw,all,rx
