event_time,weight,outcome_group,outcome_type,treat_mean,control_mean
6,uw,diab_cardiac,rx,0.916870489069933,0.806696418866053
7,uw,diab_cardiac,rx,0.913644209869141,0.841703319427318
8,uw,diab_cardiac,rx,0.957631907852724,0.814449001739243
9,uw,diab_cardiac,rx,0.878102292632139,0.886026248988881
-4,uw,all,rx,0.401598228017243,0.343686229545571
-3,uw,all,rx,0.458661753035886,0.389181722960595
-2,uw,all,rx,0.516069447884504,0.433987827568562
-1,uw,all,rx,0.544410640367521,0.454398317402117
0,uw,all,rx,0.665120016869644,0.513834196688709
1,uw,all,rx,0.795383371599724,0.593960564077029
2,uw,all,rx,0.874208764763,0.639313145062093
3,uw,all,rx,0.85729961990635,0.658423064813164
4,uw,all,rx,0.947180216300865,0.66957737321615
5,uw,all,rx,1.1032947826024,0.817374692845076
6,uw,all,rx,1.31969361045971,0.808954917972908
7,uw,all,rx,1.37457840721523,0.845569169059045
8,uw,all,rx,1.56042386042077,0.821129095059838
9,uw,all,rx,1.60577297920448,0.899665056670482
-4,uw,obesity,net_spending,16.1727073071861,0.298223690961687
-3,uw,obesity,net_spending,20.5868244070873,0.498352585432485
-2,uw,obesity,net_spending,24.240694910591,0.54270696561257
-1,uw,obesity,net_spending,27.9993632395292,0.492854085873768
0,uw,obesity,net_spending,74.5082741023792,1.02072725695662
1,uw,obesity,net_spending,137.519348323798,1.40068996239616
2,uw,obesity,net_spending,136.334941667068,1.43088814360834
3,uw,obesity,net_spending,124.307289296296,1.04568864549778
4,uw,obesity,net_spending,160.099232961391,0.774577907072673
5,uw,obesity,net_spending,264.848260528761,1.16836958611659
6,uw,obesity,net_spending,376.027454668201,2.05318286751646
7,uw,obesity,net_spending,426.263063572149,3.57152706957898
8,uw,obesity,net_spending,550.531710432803,6.09611975555084
9,uw,obesity,net_spending,658.274072975637,11.6934340687373
-4,uw,diab_cardiac,net_spending,155.234694992989,147.797446544055
-3,uw,diab_cardiac,net_spending,192.617424085728,178.558894600396
-2,uw,diab_cardiac,net_spending,226.129345463239,211.932391341293
-1,uw,diab_cardiac,net_spending,240.38431460447,229.424718182527
0,uw,diab_cardiac,net_spending,274.386249920555,261.178734702131
1,uw,diab_cardiac,net_spending,320.477562841675,327.065130591351
2,uw,diab_cardiac,net_spending,374.877288604653,363.352048713273
3,uw,diab_cardiac,net_spending,380.851725015441,383.268419825793
4,uw,diab_cardiac,net_spending,436.451768117156,400.616322457661
5,uw,diab_cardiac,net_spending,478.429910906782,502.444591015035
6,uw,diab_cardiac,net_spending,558.137116351591,503.510638464094
7,uw,diab_cardiac,net_spending,562.312157897988,530.234005794465
8,uw,diab_cardiac,net_spending,597.071205508703,521.623958620923
9,uw,diab_cardiac,net_spending,548.30331215729,569.62618015888
-4,uw,all,net_spending,171.407402300175,148.095670235017
-3,uw,all,net_spending,213.204248492815,179.057247185828
-2,uw,all,net_spending,250.37004037383,212.475098306906
-1,uw,all,net_spending,268.383677843999,229.9175722684
