state,enrollment_sep2025,covered,adoption_quarter,att_rx_avg,att_gross_avg,att_net_avg,att_rx_et9,att_gross_et9,att_net_et9,implied_rx_monthly_avg,implied_gross_monthly_avg,implied_net_monthly_avg,implied_rx_monthly_et9,implied_gross_monthly_et9,implied_net_monthly_et9,implied_gross_annual_avg,implied_net_annual_avg,implied_gross_annual_et9,implied_net_annual_et9
OK,910072,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,3209.1483799658,3956806.04078044,3024407.18472432,7471.68097016028,8981891.24010621,6840526.82200875,47481672.4893653,36292886.2166918,107782694.881275,82086321.864105
OR,1125025,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,3967.12804719959,4891377.51301986,3738752.20091869,9236.44270283513,11103354.6712793,8456214.11045543,58696530.1562383,44865026.4110243,133240256.055352,101474569.325465
PA,2757077,1,2023-Q1,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,9722.16394745798,11987204.2305409,9162487.67969805,22635.5714209058,27210776.4601024,20723480.3057818,143846450.766491,109949852.156377,326529317.521229,248681763.669381
RI,271469,1,2022-Q4,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,957.269646314727,1180291.42648562,902162.459706403,2228.7574623639,2679244.09613788,2040487.97880156,14163497.1178275,10825949.5164768,32150929.1536546,24485855.7456187
SC,890091,1,2024-Q4,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,3138.69022524827,3869932.75877546,2958005.09790264,7307.63718300413,8784690.17374161,6690340.280251,46439193.1053055,35496061.1748317,105416282.084899,80284083.363012
SD,122307,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,431.285998150122,531765.70252654,406458.136874969,1004.13910593601,1207100.28646488,919316.618926222,6381188.43031848,4877497.64249963,14485203.4375786,11031799.4271147
TN,1251458,1,2025-Q3,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,4412.96338454017,5441082.21567415,4158922.11449284,10274.4562227547,12351176.2229371,9406543.67524484,65292986.5880898,49907065.373914,148214114.675246,112878524.102938
TX,3851991,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,13583.1128496348,16747665.3032198,12801173.1554134,31624.8031495625,38016952.7464508,28953366.0563519,200971983.638638,153614077.864961,456203432.95741,347440392.676223
UT,302064,1,2025-Q3,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,1065.15550005493,1313312.19936698,1003837.64344642,2479.94207114437,2981199.28483839,2270454.30906923,15759746.3924037,12046051.721357,35774391.4180607,27245451.7088307
VA,1512223,1,2023-Q1,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,5332.48796864097,6574834.84977795,5025512.38375135,12415.3339644981,14924777.9481043,11366575.3834406,78898018.1973354,60306148.6050162,179097335.377251,136398904.601287
